tweets,Subjectivity,Polarity,Analysis
 This cruel... Why do human in this fucking room feel nothing... They are evil not human😡😡😡😡😡😡😡,0.7250000000000001,-0.65,-1
 Please to share and to help Heroes of K9 Dogs out of Afghanistan soon later 🙏🙏,0.0,0.0,0
 💔💔😔,0.0,0.0,0
 Stop 🛑 this now !!!!😡😡💔💔💔😭😭😡😡,0.0,0.0,0
 Name them so we can shame them!!!!,0.0,0.0,0
" Great name, Charlene",0.75,0.8,1
 what are they doing btw,0.0,0.0,0
   Yummy yummy milky,0.0,0.0,0
 Experiment or torture?,0.0,0.0,0
  https//t.co/EqIoO6QxCH,0.0,0.0,0
  this post single handedly inspired me to order a box of chicken nuggets from mcdonald’s rn,0.5821428571428571,-0.3357142857142857,-1
  We dont stan not a nugget in this community https//t.co/5aYO9h4fqW,0.0,0.0,0
" Look at me, I'm killing pigs. https//t.co/0BGq9pud2j",0.0,0.0,0
  do you have branch office in Denmark? https//t.co/DYOiZBRpjC,0.0,0.0,0
 Peta Eats children and loves shooting animals loves making steak and forces children to eat legos,0.0,0.0,0
   Looks hot,0.8500000000000001,0.25,1
  How he enters the battlefield https//t.co/gBoBfuIiEr,0.0,0.0,0
  The Ocean,0.0,0.0,0
 Hello nasty!,1.0,-1.0,-1
 I read that a humane group brought them home?,0.0,0.0,0
"  Oh boy, can't wait to eat it with King Dedede!",0.0,0.0,0
  horse race in USA! Hav yu take any action against that?,0.1,0.1,1
 Nothing but a baseless emotional argument. You completely ignored all my points. Stop offending billions of Muslims with this nonesense! Milk has been the diet of humans since forever and it is mentioned as a diet in the Qur'an. Milk is on top of the food pyramid science.,0.5166666666666667,0.20833333333333334,1
 Sweet girl,0.65,0.35,1
  Looks like a nugget to me,0.0,0.0,0
  I love to eat animals,0.6,0.5,1
  YOU CAN'T GET OVER THIS RATIO,0.0,0.0,0
 Seaworld literally does nothing wrong,0.9,-0.5,-1
 Well you’re going to have to get over this Ratio,0.0,0.0,0
" Very informative. Many people from all over the world were shocked to learn about the heartlessness of the US decision to leave those dogs and their carers behind, especially seeing as they did have a privately funded plane to ship them out.",0.6124999999999999,-0.06666666666666667,-1
 😡😡😡😡😡😡😡😡,0.0,0.0,0
  Are you going to hide this post?,0.0,0.0,0
" want a hamburger
It was made with 14 different baby animals",0.6,0.0,0
 Because Taliban warns only U.S. military to leave..not U.S. dogs.,0.55,-0.05,-1
 😭😭😭,0.0,0.0,0
 Because humans are more important 🤡🤡🤡 https//t.co/f9NfSkKRvX,0.75,0.45,1
 https//t.co/6t0rkPpe93,0.0,0.0,0
  Definitely the🌊 because that's where God placed them after He created them🐬🐋,0.5,0.0,0
 Astaghfir Allah,0.0,0.0,0
 https//t.co/VYdXMwZD1R,0.0,0.0,0
 Dont care,0.0,0.0,0
   what's your opinion about this rituals is it worse than Holi or Diwali. https//t.co/hNYrc3QNxU,0.6,-0.4,-1
 yum,0.0,0.0,0
 too bad,0.6666666666666666,-0.6999999999999998,-1
 I almost lost my berries.,0.0,0.0,0
 I love it tho (There is blood all over me because i just ate an entire cow) https//t.co/0MlPiJ4sHw,0.46388888888888896,0.12222222222222223,1
 you have some info about this? https//t.co/gRjuLBpjnF,0.0,0.0,0
  Thank you peta for your amazing post about animal cruelty and veganism. Your still wrong. But thank you for reminding me to grill this nice steak I purchased at my local butcher. Please fill out this form for any complains https//t.co/ia0BVH3cVL,0.7,0.17500000000000002,1
" &amp;  - I'll pretend like this never happened. Denmark dolphins 
  https//t.co/ZlJxEM5N5G",0.0,0.0,0
" 🤮🤢 when you sit on a leather sofa you are sitting on skin. It’s like an autopsy - body parts, skin, fat, I just can’t get my head around it why do we think it’s normal? 😵‍💫🤢",0.6499999999999999,0.15,1
 That's enough to put anyone off surely. And in mince meat I would guess you could quite literally be eating private parts too. 🤮🤮🤮,0.5879629629629629,0.16666666666666666,1
  I won’t be here when it extincts so I don’t care,0.0,0.0,0
 any comment? https//t.co/3XlQ9MS7aX,0.0,0.0,0
 This is why I never eat meat!,0.0,0.0,0
"  You are the most sad and desperate organization ever. Damn though this KFC is bussing, also this hamburger with a tall glass of milk is good too.",0.775,0.024999999999999994,1
  The person and the whole company based on what they look like after making this tweet https//t.co/OpnylhhEmZ,0.4,0.2,1
" Yeah, like that time you mindfuck everyone into thinking milk causes fucking autism.",0.8,-0.6,-1
" Delicious.

I'm a fucking cannibal.

You got a problem with that?",0.9,0.2,1
  yall just want more excuses to put down animals,0.3944444444444445,0.17222222222222222,1
" OH, AND HEY PETA, YOUR FUCKING CHAIS OVER THERE SHOWING JUST HOW MUCH YOU ""SAVED"". TOTALLY NOT PUTTING MOST OF THEM DOWN TO SLEEP.",0.5077777777777778,-0.01111111111111111,-1
 Have some puppies to make u feel better instead https//t.co/T6kZhBzkjc,0.5,0.5,1
 _Sakurai  🖕,0.0,0.0,0
"   why u have only one child in South Asia i.e  , or I am wrong here. you should have petamiddleeast petapakistan petaChina , as ur presence requires there .or they are not allowing…I heard your child   is being biased like its father, I mean you😊😊",0.8624999999999999,-0.2708333333333333,-1
" blocked me, why !? https//t.co/IHsvzdjtc7",0.0,0.0,0
 https//t.co/4QtowRYH5S,0.0,0.0,0
 ) https//t.co/iBLtY2j1Y4,0.0,0.0,0
